Country Name,Year,CO2,CO2_ton,Renewables,Electricity,Energy consumption,Country Code,PBI per capita,Poblacion,CO2_per_capita_ton,Energy_use_per_capita
Países Bajos,1993,174.802948512,174802948.512,1.4347,77.159,70.314134008,NLD,23122.41079014426,15290368.0,11.432226386703054,4.598590040998359e-06
Polonia,1993,352.789386204,352789386.204,2.716876,133.867,101.28470316,POL,2497.1952411668863,38461408.0,9.172555154611084,2.6334112146908404e-06
Portugal,1993,43.711710709,43711710.709,30.936358,31.206,18.27225004,PRT,9535.594849108676,9964675.0,4.386666971978514,1.8337025582871493e-06
Rumania,1993,118.501577772,118501577.772,23.017161,55.476,45.597277847,ROU,1158.1325159134408,22763280.0,5.205821734477633,2.00310666331917e-06
España,1993,212.775828894,212775828.894,16.889884,156.798,92.024507829,ESP,13303.676131174905,39361262.0,5.405716638201286,2.3379460706569826e-06
Suecia,1993,52.56651025,52566510.25,53.10674,145.812,45.573628031,SWE,24107.837464779128,8718561.0,6.029264491009468,5.2271960970394085e-06
Reino Unido,1993,540.553300722,540553300.722,2.214471,323.10200000000003,214.46547371900002,GBR,18389.019567509866,57718614.0,9.365320184611502,3.715707271124009e-06
Noruega,1993,31.194015742,31194015.742000002,99.804341,120.107,23.511617701,NOR,27963.66521882712,4311991.0,7.234248805714112,5.452612888338588e-06
Turquía,1993,143.09069233300002,143090692.33300003,46.180631,73.808,56.763833924,TUR,3180.18780104574,56653804.0,2.5257031696053462,1.00194214538533e-06
Kazajstán,1993,212.545323899,212545323.89900002,9.850989,77.444,65.61213719,KAZ,1433.4615343113892,16330419.0,13.01530131584499,4.0177865117851536e-06
Rusia,1993,1860.724769824,1860724769.8240001,18.225629,956.587,756.284694454,RUS,2929.46211857553,148520000.0,12.528445797360625,5.0921404151225425e-06
Ucrania,1993,481.994239233,481994239.233,4.88765,229.906,188.894453345,UKR,1258.13633251744,52179210.0,9.23728510326239,3.6201094908297765e-06
Uzbekistán,1993,112.810726984,112810726.984,14.970803,49.149,47.093839262,UZB,596.9835856125762,21942000.0,5.141314692553094,2.146287451554097e-06
Canadá,1993,435.35968951200005,435359689.512,61.730311,532.2280000000001,222.740012033,CAN,20121.161253285456,28684764.0,15.177384395144406,7.765098295143722e-06
Estados Unidos,1993,5006.268409970001,5006268409.970001,11.002849,3411.28,1998.2909728079999,USA,26387.293733817074,259919000.0,19.26087900449756,7.688129658886038e-06
Argentina,1993,108.252772538,108252772.538,39.222215,61.868,50.090300133999996,ARG,6969.118087810046,33970111.0,3.186706470814888,1.4745403726823265e-06
Brasil,1993,209.78753652,209787536.52,95.254707,251.976,148.385179687,BRA,2791.2091242241895,156849078.0,1.337512079733105,9.460379466623324e-07
Chile,1993,32.403497619999996,32403497.619999997,81.664792,24.003,15.877276978,CHL,3535.1735995737017,13944937.0,2.323674722947834,1.1385692870466176e-06
Colombia,1993,52.563070464,52563070.464,73.253974,38.559,26.200981068,COL,1893.5420500558814,35091275.0,1.4978957152169592,7.466522965608973e-07
México,1993,290.330355686,290330355.686,25.396357,135.673,133.042907417,MEX,5650.026285966432,88625440.0,3.2759256900276035,1.5011819113902286e-06
Venezuela,1993,100.599858333,100599858.333,68.429852,69.382,42.994829497,VEN,2857.9385235347427,21016901.0,4.78661712937602,2.0457264130901126e-06
